1,165,166
1,-399,150
1,-409,-1837
1,51,-401
1,-233,257
0,-165,-166
0,399,-150
0,409,1837
0,-51,401
0,233,-257
1,-825,-1665
0,825,1665
0,-1865,-1704
0,-2170,-2263
0,-357,300
0,-853,-537
0,-239,-629
1,1865,1704
1,2170,2263
1,357,-300
1,853,537
1,239,629
0,-5484,-4833
1,5484,4833
1,-30,-261
1,321,1362
1,193,-70
1,1711,856
1,371,210
0,30,261
0,-321,-1362
0,-193,70
0,-1711,-856
0,-371,-210
1,2566,2097
0,-2566,-2097
0,-721,-958
0,-1167,-759
0,3,-825
0,-271,-863
0,-315,341
1,721,958
1,1167,759
1,-3,825
1,271,863
1,315,-341
0,-2471,-3064
1,2471,3064
0,754,78
0,248,-209
0,236,275
0,-87,676
0,-274,-615
1,-754,-78
1,-248,209
1,-236,-275
1,87,-676
1,274,615
0,877,205
1,-877,-205
1,1626,375
1,67,-547
1,-2,-124
1,641,452
1,55,47
0,-1626,-375
0,-67,547
0,2,124
0,-641,-452
0,-55,-47
1,2387,203
0,-2387,-203
1,407,-568
1,132,-1016
1,-173,167
1,-949,-488
1,-305,-78
0,-407,568
0,-132,1016
0,173,-167
0,949,488
0,305,78
1,-888,-1983
0,888,1983
0,-2663,-1723
0,-884,-1827
0,-2050,-1565
0,-3369,-2136
0,-575,-1183
1,2663,1723
1,884,1827
1,2050,1565
1,3369,2136
1,575,1183
0,-9541,-8434
1,9541,8434
1,659,115
1,167,24
1,11,-80
1,81,-159
1,-168,-22
0,-659,-115
0,-167,-24
0,-11,80
0,-81,159
0,168,22
1,750,-122
0,-750,122
0,-938,-245
0,-705,-983
0,988,407
0,343,41
0,229,-200
1,938,245
1,705,983
1,-988,-407
1,-343,-41
1,-229,200
0,-83,-980
1,83,980
1,1635,1816
1,97,123
1,-2007,-2190
1,-1199,-1497
1,515,773
0,-1635,-1816
0,-97,-123
0,2007,2190
0,1199,1497
0,-515,-773
1,-959,-975
0,959,975
0,-1892,-1558
0,-1115,-911
0,800,852
0,83,-872
0,617,631
1,1892,1558
1,1115,911
1,-800,-852
1,-83,872
1,-617,-631
0,-1507,-1858
1,1507,1858
1,1100,1050
1,448,257
1,1075,1403
1,-447,-530
1,-165,20
0,-1100,-1050
0,-448,-257
0,-1075,-1403
0,447,530
0,165,-20
1,2011,2200
0,-2011,-2200
1,-749,-1514
1,33,-419
1,180,386
1,-418,-91
1,369,519
0,749,1514
0,-33,419
0,-180,-386
0,418,91
0,-369,-519
1,-585,-1119
0,585,1119
1,1028,-329
1,-156,902
1,1543,1460
1,2052,1597
1,832,818
0,-1028,329
0,156,-902
0,-1543,-1460
0,-2052,-1597
0,-832,-818
1,5299,4448
0,-5299,-4448
0,-203,288
0,282,391
0,291,-66
0,964,491
0,102,-200
1,203,-288
1,-282,-391
1,-291,66
1,-964,-491
1,-102,200
0,1436,904
1,-1436,-904
1,-1318,-989
1,100,308
1,-398,-567
1,627,1291
1,235,-454
0,1318,989
0,-100,-308
0,398,567
0,-627,-1291
0,-235,454
1,-754,-411
0,754,411
0,-685,-1103
0,-7,919
0,-661,-114
0,-687,587
0,-351,-438
1,685,1103
1,7,-919
1,661,114
1,687,-587
1,351,438
0,-2391,-149
1,2391,149
0,666,267
0,-540,-951
0,241,254
0,-60,-187
0,-7,-113
1,-666,-267
1,540,951
1,-241,-254
1,60,187
1,7,113
0,300,-730
1,-300,730
0,-838,-1492
0,455,700
0,949,-864
0,-1017,-264
0,238,-495
1,838,1492
1,-455,-700
1,-949,864
1,1017,264
1,-238,495
0,-213,-2415
1,213,2415
0,-2097,-907
0,-1837,-2260
0,-872,-81
0,-235,-671
0,-19,-104
1,2097,907
1,1837,2260
1,872,81
1,235,671
1,19,104
0,-5060,-4023
1,5060,4023
0,-559,-47
0,225,437
0,1274,723
0,-24,-370
0,21,346
1,559,47
1,-225,-437
1,-1274,-723
1,24,370
1,-21,-346
0,937,1089
1,-937,-1089
0,-1589,-113
0,273,699
0,-391,138
0,219,339
0,195,-4
1,1589,113
1,-273,-699
1,391,-138
1,-219,-339
1,-195,4
0,-1293,1059
1,1293,-1059
1,1217,901
1,738,511
1,1588,1153
1,240,-326
1,-4,680
0,-1217,-901
0,-738,-511
0,-1588,-1153
0,-240,326
0,4,-680
1,3779,2919
0,-3779,-2919
0,-1387,-391
0,-184,-348
0,481,1113
0,-113,597
0,-536,-439
1,1387,391
1,184,348
1,-481,-1113
1,113,-597
1,536,439
0,-1739,532
1,1739,-532
0,-665,-1216
0,-761,-691
0,-358,-364
0,-529,-596
0,-838,-486
1,665,1216
1,761,691
1,358,364
1,529,596
1,838,486
0,-3151,-3353
1,3151,3353
0,67,453
0,-185,-31
0,-658,-1225
0,-419,-146
0,-192,-343
1,-67,-453
1,185,31
1,658,1225
1,419,146
1,192,343
0,-1387,-1292
1,1387,1292
1,898,929
1,-405,-1419
1,-765,-405
1,-285,-590
1,-268,-519
0,-898,-929
0,405,1419
0,765,405
0,285,590
0,268,519
1,-825,-2004
0,825,2004
0,-831,-795
0,1485,1322
0,-821,-777
0,-132,121
0,312,-606
1,831,795
1,-1485,-1322
1,821,777
1,132,-121
1,-312,606
0,13,-735
1,-13,735
0,1562,1207
0,748,821
0,-303,-297
0,310,33
0,-64,-177
1,-1562,-1207
1,-748,-821
1,303,297
1,-310,-33
1,64,177
0,2253,1587
1,-2253,-1587
1,977,403
1,303,945
1,72,-314
1,-672,-861
1,-22,56
0,-977,-403
0,-303,-945
0,-72,314
0,672,861
0,22,-56
1,658,229
0,-658,-229
1,-666,-724
1,498,663
1,986,206
1,2140,1391
1,1141,70
0,666,724
0,-498,-663
0,-986,-206
0,-2140,-1391
0,-1141,-70
1,4099,1606
0,-4099,-1606
0,-88,86
0,-500,-511
0,-333,-875
0,529,328
0,147,-362
1,88,-86
1,500,511
1,333,875
1,-529,-328
1,-147,362
0,-245,-1334
1,245,1334
